Time (s),Current (uA)
12.2,942234.27
12.21,500863.92
12.22,2898726.02
12.23,1223229.81
12.24,762045.39
12.25,1974784.84
12.26,1204068.83
12.27,1134373.56
12.28,872234.85
12.29,1283731.6
12.3,647536.16
12.31,537909.54
12.32,1642593.32
12.33,2393.71
12.34,2386.16
12.35,2412.18
12.36,2435.62
12.37,2554.65
12.38,2579.01
12.39,44388.32
12.4,1933.03
12.41,1955.1
12.42,232846.95
12.43,25851.23
12.44,285311.95
12.45,328869.92
12.46,4435.02
12.47,4573.81
12.48,304202.75
12.49,909217.97
12.5,1570258.5
12.51,2043470.63
12.52,1267497.49
12.53,1678866.09
12.54,2082951.24
12.55,1305972.64
12.56,2655786.05
12.57,1509888.69
12.58,1938508.03
12.59,1220773.13
12.6,2293339.52
12.61,1212075.99
12.62,1175272.96
12.63,2892017.62
12.64,1918464.78
12.65,586718.19
12.66,1149251.43
12.67,944546.87
12.68,485910.01
12.69,1554444.5
12.7,2276083.65
12.71,4969315.27
12.72,6327590.86
12.73,4741110.77
12.74,4680793.85
12.75,5673843.01
12.76,6352540.76
12.77,5342668.66
12.78,4244122.92
12.79,6384138.54
12.8,5163409.02
12.81,5262271.09
12.82,5553671.73
12.83,5543115.39
12.84,6099164.31
12.85,5106331.86
12.86,5484318.64
12.87,3557611.2
12.88,6599462.79
12.89,2879414.85
12.9,2940433.99
12.91,3579231.12
12.92,4227118.33
12.93,5125959.25
12.94,5403283.0
12.95,5397295.18
12.96,5233883.51
12.97,4809004.79
12.98,4042830.78
12.99,5024394.49
13.0,4929370.36
13.01,5016493.06
13.02,4819439.28
13.03,5248829.35
13.04,5053911.09
13.05,5452962.75
13.06,4810621.19
13.07,4935901.43
13.08,5384705.4
13.09,5210156.23
13.1,5214338.83
13.11,4983332.79
13.12,5272902.47
13.13,4788227.07
13.14,5283252.24
13.15,5280692.68
13.16,3652435.9
13.17,4453667.24
13.18,5550531.2
13.19,4671828.28
13.2,4716067.86
13.21,5485654.8
13.22,4595362.63
13.23,3313592.58
13.24,5644212.45
13.25,4493497.36
13.26,4953117.62
13.27,5565788.52
13.28,4518687.26
13.29,4172513.61
13.3,4968833.38
13.31,5124131.55
13.32,5294928.34
13.33,5660981.51
13.34,5294836.29
13.35,3221575.21
13.36,6090748.15
13.37,5184640.54
13.38,5699044.14
13.39,5458496.92
13.4,5561927.15
13.41,2938249.64
13.42,6810941.3
13.43,5485418.27
13.44,4413100.41
13.45,5346986.7
13.46,5322209.24
13.47,4025311.95
13.48,4536972.22
13.49,4915573.5
13.5,5074131.21
13.51,4452794.1
13.52,5635908.74
13.53,5377945.7
13.54,5126242.23
13.55,5054743.94
13.56,5922818.63
13.57,4832883.36
13.58,5660778.57
13.59,5826212.66
13.6,5877950.21
13.61,4979897.44
13.62,5258697.2
13.63,1442261.3
13.64,2076441.28
13.65,3154510.99
13.66,3790341.75
13.67,3808870.23
13.68,2959736.56
13.69,3766142.11
13.7,391147.82
13.71,330710.98
13.72,3867650.61
13.73,5063719.14
13.74,4311925.43
13.75,2820268.09
13.76,3732110.53
13.77,4054719.16
13.78,2685209.12
13.79,3359620.41
13.8,3648625.3
13.81,3543636.57
13.82,3781405.79
13.83,4163095.62
13.84,4096183.08
13.85,3390578.13
13.86,4159085.0
